Row Labels,Total
E01005860,7
E01005861,23
E01005862,2
E01005863,13
E01005864,20
E01005865,11
E01005866,13
E01005867,14
E01005868,8
E01005869,12
E01005870,12
E01005871,16
E01005872,10
E01005873,6
E01005874,25
E01005875,5
E01005876,12
E01005877,14
E01005878,12
E01005879,13
E01005880,2
E01005881,6
E01005882,2
E01005883,8
E01005884,7
E01005885,16
E01005886,8
E01005887,19
E01005888,6
E01005889,31
E01005890,22
E01005891,6
E01005892,33
E01005893,28
E01005894,7
E01005895,12
E01005896,19
E01005897,8
E01005898,2
E01005899,5
E01005900,17
E01005901,11
E01005902,18
E01005903,7
E01005904,9
E01005905,31
E01005906,1
E01005907,3
E01005909,6
E01005910,19
E01005911,6
E01005912,6
E01005913,1
E01005914,13
E01005915,25
E01005916,28
E01005917,29
E01005918,30
E01005919,16
E01005920,5
E01005921,20
E01005922,5
E01005923,3
E01005924,10
E01005925,7
E01005926,13
E01005927,6
E01005928,7
E01005929,7
E01005930,2
E01005932,2
E01005933,43
E01005934,11
E01005935,28
E01005936,10
E01005937,16
E01005938,19
E01005939,1
E01005940,9
E01005941,46
E01005942,10
E01005943,27
E01005944,22
E01005945,31
E01005946,35
E01005947,30
E01005948,208
E01005949,10
E01005950,36
E01005951,21
E01005952,35
E01005953,28
E01005954,14
E01005955,5
E01005956,12
E01005957,15
E01005958,17
E01005959,18
E01005960,20
E01005961,12
E01005962,7
E01005963,14
E01005964,7
E01005965,17
E01005966,15
E01005967,26
E01005968,5
E01005969,5
E01005970,1
E01005971,26
E01005972,9
E01005973,6
E01005974,58
E01005975,10
E01005976,6
E01005977,23
E01005978,16
E01005979,1
E01005980,21
E01005981,17
E01005982,4
E01005983,8
E01005984,8
E01005985,2
E01005986,14
E01005987,4
E01005988,4
E01005989,6
E01005990,16
E01005991,10
E01005992,26
E01005993,4
E01005994,10
E01005995,3
E01005996,19
E01005997,26
E01005998,36
E01005999,34
E01006000,18
E01006001,11
E01006002,23
E01006003,11
E01006004,8
E01006005,9
E01006006,10
E01006007,16
E01006008,18
E01006009,24
E01006010,19
E01006011,16
E01006012,15
E01006013,17
E01006014,14
E01006015,15
E01006016,37
E01006017,1
E01006018,7
E01006019,17
E01006020,23
E01006021,15
E01006022,29
E01006023,30
E01006024,5
E01006025,18
E01006026,9
E01006027,19
E01006028,30
E01006029,22
E01006030,11
E01006031,32
E01006032,18
E01006033,17
E01006034,23
E01006035,17
E01006036,29
E01006037,3
E01006038,10
E01006039,7
E01006040,50
E01006041,12
E01006042,13
E01006043,12
E01006044,8
E01006045,4
E01006046,2
E01006047,6
E01006048,8
E01006049,17
E01006050,32
E01006051,7
E01006052,16
E01006053,15
E01006054,12
E01006055,14
E01006056,12
E01006057,8
E01006058,25
E01006059,9
E01006060,29
E01006061,15
E01006062,3
E01006063,6
E01006064,13
E01006065,9
E01006066,14
E01006067,12
E01006068,12
E01006069,20
E01006070,16
E01006071,13
E01006073,12
E01006074,12
E01006075,43
E01006076,19
E01006077,17
E01006078,9
E01006079,9
E01006080,12
E01006081,4
E01006082,7
E01006083,4
E01006084,14
E01006085,5
E01006086,9
E01006087,8
E01006088,3
E01006089,26
E01006090,13
E01006091,11
E01006092,8
E01006093,5
E01006094,2
E01006095,7
E01006096,7
E01006097,12
E01006098,4
E01006099,8
E01006100,10
E01006101,3
E01006102,5
E01006103,4
E01006104,13
E01006105,24
E01006106,10
E01006107,22
E01006108,16
E01006109,18
E01006110,3
E01006111,3
E01006112,18
E01006113,14
E01006114,7
E01006115,13
E01006116,15
E01006117,6
E01006118,6
E01006119,5
E01006120,1
E01006121,103
E01006122,4
E01006123,17
E01006124,4
E01006125,10
E01006126,11
E01006127,11
E01006128,9
E01006129,9
E01006130,6
E01006131,3
E01006132,8
E01006133,2
E01006134,3
E01006135,6
E01006136,5
E01006137,3
E01006138,5
E01006139,3
E01006140,6
E01006141,5
E01006142,8
E01006143,6
E01006144,20
E01006145,28
E01006146,16
E01006147,4
E01006148,3
E01006149,5
E01006150,13
E01006151,6
E01006152,14
E01006153,6
E01006154,5
E01006155,6
E01006156,12
E01006157,20
E01006158,10
E01006159,19
E01006160,65
E01006161,15
E01006162,5
E01006163,19
E01006164,18
E01006165,8
E01006166,5
E01006167,17
E01006168,20
E01006169,10
E01006170,2
E01006171,13
E01006172,4
E01006173,1
E01006174,7
E01006175,13
E01006176,8
E01006177,10
E01006178,7
E01006179,6
E01006180,21
E01006181,6
E01006182,3
E01006183,6
E01006184,8
E01006185,24
E01006186,36
E01006187,27
E01006188,12
E01006189,8
E01006190,5
E01006191,7
E01006192,5
E01006193,14
E01006194,25
E01006195,3
E01006196,3
E01006197,11
E01006198,24
E01006199,8
E01006200,11
E01006201,12
E01006202,17
E01006203,3
E01006204,6
E01006205,9
E01006206,9
E01006207,15
E01006208,12
E01006209,4
E01006210,10
E01006211,15
E01006212,5
